Date,Open,High,Low,Close,Volume,Adj Close
11/18/2016,8788.919922,8859.05957,8765.040039,8856.469727,190800,8856.469727
11/17/2016,8752.370117,8797.290039,8737.230469,8791.230469,155600,8791.230469
11/16/2016,8801.219727,8816.820312,8716.490234,8749.080078,150900,8749.080078
11/15/2016,8792.879883,8844.530273,8725.75,8814.5,224700,8814.5
11/14/2016,8603.379883,8833.290039,8582.05957,8765.709961,5367200000,8765.709961
11/11/2016,8530.589844,8579.320312,8499.730469,8578.650391,199000,8578.650391
11/10/2016,8422.280273,8611.169922,8422.280273,8556.599609,278300,8556.599609
11/9/2016,8301.129883,8425.450195,8189.620117,8397.30957,294500,8397.30957
11/8/2016,8285.110352,8345.769531,8158.040039,8328.290039,190300,8328.290039
11/7/2016,8116.680176,8359.209961,8116.680176,8330.360352,3736060000,8330.360352
11/4/2016,8051.560059,8143.759766,8034.839844,8075.140137,147600,8075.140137
11/3/2016,8040.899902,8108.700195,8035.609863,8053.089844,156800,8053.089844
11/2/2016,8004.240234,8067.370117,8003.569824,8025.799805,165300,8025.799805
11/1/2016,8068.009766,8095.910156,7958.790039,8008.379883,163200,8008.379883
10/31/2016,8043.52002,8075.259766,8028.779785,8058.02002,162700,8058.02002
10/28/2016,8018.609863,8103.859863,7957.180176,8018.549805,4019510000,8018.549805
10/27/2016,7987.419922,8019.399902,7935.680176,8014.959961,183900,8014.959961
10/26/2016,7947.830078,8034.689941,7885.700195,7967.02002,233800,7967.02002
10/25/2016,8040.359863,8114.819824,7955.080078,8019.160156,3751340000,8019.160156
10/24/2016,8044.740234,8100.200195,8044.740234,8056.439941,149400,8056.439941
10/21/2016,8006.72998,8035.970215,7950.689941,8026.649902,170100,8026.649902
10/20/2016,8085.620117,8097.490234,8017.850098,8036.339844,214000,8036.339844
10/19/2016,8018.370117,8088.629883,8012,8064.720215,157600,8064.720215
10/18/2016,8031.709961,8087.899902,8005,8008.560059,161500,8008.560059
10/17/2016,8002.410156,8049.259766,7991.990234,8009.529785,136600,8009.529785
10/14/2016,8082.140137,8134.830078,8037.430176,8039.290039,158100,8039.290039
10/13/2016,8027.140137,8076.47998,7937.899902,8055.339844,232200,8055.339844
10/12/2016,8088.720215,8130.75,8016.080078,8054.97998,2977100000,8054.97998
10/11/2016,8145.709961,8152.009766,8060.490234,8086.589844,178700,8086.589844
10/10/2016,8073.680176,8145.549805,8073.680176,8137.089844,125800,8137.089844
10/7/2016,8122.890137,8122.890137,8021.720215,8056.859863,152100,8056.859863
10/6/2016,8121.430176,8140.069824,8087.75,8128.189941,134100,8128.189941
10/5/2016,8087.379883,8145.399902,8086.830078,8128.009766,112000,8128.009766
10/4/2016,8124.540039,8171.930176,8063.290039,8074.890137,174900,8074.890137
10/3/2016,8061.680176,8101.569824,8042.240234,8099.379883,145700,8099.379883
9/30/2016,8005.640137,8105.930176,8005.640137,8078.790039,195500,8078.790039
9/29/2016,8000.149902,8051.600098,7966.290039,7984.859863,140600,7984.859863
